,unit,cycle,m6,os2
101,1,102,21.61,0.0005
102,1,103,21.61,0.0001
103,1,104,21.61,0.0001
104,1,105,21.61,0.0004
105,1,106,21.61,0.0001
106,1,107,21.61,-0.0001
107,1,108,21.61,0.0001
108,1,109,21.61,-0.0003
109,1,110,21.61,0.0004
110,1,111,21.61,0.0004
111,1,112,21.61,0.0003
112,1,113,21.61,0.0001
113,1,114,21.61,0.0004
114,1,115,21.61,0.0005
115,1,116,21.61,-0.0003
116,1,117,21.61,0.0004
117,1,118,21.61,-0.0004
118,1,119,21.61,0.0005
119,1,120,21.61,0.0005
120,1,121,21.61,0.0004
121,1,122,21.61,-0.0001
122,1,123,21.61,-0.0002
123,1,124,21.61,0.0002
124,1,125,21.61,0.0005
125,1,126,21.61,0.0001
126,1,127,21.61,0.0002
127,1,128,21.61,0.0003
128,1,129,21.61,0.0003
129,1,130,21.61,0.0002
130,1,131,21.61,-0.0001
131,1,132,21.61,-0.0001
132,1,133,21.61,-0.0002
133,1,134,21.61,0.0
134,1,135,21.61,0.0001
135,1,136,21.61,-0.0001
136,1,137,21.61,0.0
137,1,138,21.61,0.0001
138,1,139,21.61,0.0005
139,1,140,21.61,-0.0001
140,1,141,21.61,0.0005
141,1,142,21.61,0.0002
142,1,143,21.61,-0.0003
143,1,144,21.61,-0.0004
144,1,145,21.61,-0.0001
145,1,146,21.61,-0.0003
146,1,147,21.61,0.0001
147,1,148,21.61,-0.0004
148,1,149,21.61,0.0004
149,1,150,21.61,-0.0003
150,1,151,21.61,-0.0001
151,1,152,21.61,-0.0001
152,1,153,21.61,-0.0004
153,1,154,21.61,0.0
154,1,155,21.61,0.0002
155,1,156,21.61,0.0003
156,1,157,21.61,0.0002
157,1,158,21.61,0.0001
158,1,159,21.61,0.0001
159,1,160,21.61,-0.0004
160,1,161,21.61,0.0001
161,1,162,21.61,0.0004
162,1,163,21.61,-0.0004
163,1,164,21.61,-0.0002
164,1,165,21.61,0.0004
165,1,166,21.61,-0.0003
166,1,167,21.61,0.0003
167,1,168,21.61,0.0002
168,1,169,21.61,0.0004
169,1,170,21.61,-0.0002
170,1,171,21.61,-0.0003
171,1,172,21.61,-0.0003
172,1,173,21.61,0.0002
173,1,174,21.61,-0.0002
174,1,175,21.61,0.0002
175,1,176,21.61,-0.0003
176,1,177,21.61,-0.0003
177,1,178,21.61,0.0002
178,1,179,21.61,-0.0003
179,1,180,21.61,0.0
180,1,181,21.61,0.0005
181,1,182,21.61,0.0003
182,1,183,21.61,0.0001
183,1,184,21.61,0.0003
184,1,185,21.61,0.0001
185,1,186,21.61,-0.0003
186,1,187,21.61,-0.0
187,1,188,21.61,0.0003
188,1,189,21.61,0.0002
189,1,190,21.61,0.0001
190,1,191,21.61,-0.0004
191,1,192,21.61,-0.0
192,2,1,21.6,0.0006
193,2,2,21.61,-0.0003
194,2,3,21.6,0.0003
195,2,4,21.61,-0.0004
196,2,5,21.6,0.0004
197,2,6,21.61,0.0004
198,2,7,21.61,-0.0002
199,2,8,21.61,-0.0004
200,2,9,21.6,-0.0004
201,2,10,21.6,0.0002
202,2,11,21.61,0.0004
203,2,12,21.61,0.0006
204,2,13,21.61,0.0005
205,2,14,21.61,-0.0004
206,2,15,21.61,-0.0003
207,2,16,21.61,0.0003
208,2,17,21.61,-0.0001
209,2,18,21.61,0.0001
210,2,19,21.61,0.0001
211,2,20,21.61,-0.0004
212,2,21,21.61,0.0001
213,2,22,21.61,0.0006
214,2,23,21.61,0.0003
215,2,24,21.61,-0.0
216,2,25,21.61,0.0001
217,2,26,21.61,0.0003
218,2,27,21.61,0.0005
219,2,28,21.61,0.0005
220,2,29,21.61,-0.0003
221,2,30,21.61,0.0
222,2,31,21.61,0.0005
223,2,32,21.61,-0.0001
224,2,33,21.61,0.0004
225,2,34,21.61,0.0003
226,2,35,21.61,0.0002
227,2,36,21.61,0.0004
228,2,37,21.61,0.0005
229,2,38,21.61,0.0005
230,2,39,21.61,0.0005
231,2,40,21.61,0.0005
232,2,41,21.61,0.0006
233,2,42,21.61,0.0005
234,2,43,21.61,0.0
235,2,44,21.61,0.0003
236,2,45,21.61,-0.0002
237,2,46,21.61,-0.0003
238,2,47,21.61,0.0003
239,2,48,21.61,-0.0001
240,2,49,21.61,0.0005
241,2,50,21.61,-0.0004
242,2,51,21.61,0.0003
243,2,52,21.6,-0.0001
244,2,53,21.61,-0.0001
245,2,54,21.61,-0.0003
246,2,55,21.6,-0.0004
247,2,56,21.61,0.0002
248,2,57,21.61,-0.0001
249,2,58,21.61,-0.0002
250,2,59,21.61,-0.0
251,2,60,21.61,-0.0002
252,2,61,21.61,0.0001
253,2,62,21.61,-0.0001
254,2,63,21.61,0.0005
255,2,64,21.61,0.0001
256,2,65,21.6,0.0
257,2,66,21.61,-0.0002
258,2,67,21.61,-0.0001
259,2,68,21.61,0.0001
260,2,69,21.61,0.0
261,2,70,21.61,-0.0002
262,2,71,21.61,0.0002
263,2,72,21.61,-0.0001
264,2,73,21.61,-0.0001
265,2,74,21.6,0.0001
266,2,75,21.6,0.0004
267,2,76,21.61,0.0001
268,2,77,21.61,0.0
269,2,78,21.61,-0.0001
270,2,79,21.61,0.0004
271,2,80,21.61,-0.0
272,2,81,21.61,-0.0001
273,2,82,21.61,-0.0001
274,2,83,21.61,-0.0004
275,2,84,21.61,-0.0004
276,2,85,21.6,0.0004
277,2,86,21.61,-0.0
278,2,87,21.61,-0.0002
279,2,88,21.6,-0.0002
280,2,89,21.61,0.0005
281,2,90,21.61,-0.0003
282,2,91,21.61,-0.0002
283,2,92,21.6,0.0005
284,2,93,21.61,-0.0004
285,2,94,21.61,0.0005
286,2,95,21.61,0.0002
287,2,96,21.61,0.0006
288,2,97,21.61,0.0001
289,2,98,21.61,0.0003
290,2,99,21.61,-0.0004
291,2,100,21.61,-0.0001
292,2,101,21.61,-0.0
293,2,102,21.6,0.0001
294,2,103,21.61,0.0002
295,2,104,21.61,0.0002
296,2,105,21.61,0.0004
297,2,106,21.61,-0.0004
298,2,107,21.61,-0.0001
299,2,108,21.61,0.0004
300,2,109,21.61,0.0
301,2,110,21.61,-0.0002
302,2,111,21.61,0.0
303,2,112,21.61,-0.0002
304,2,113,21.61,0.0
305,2,114,21.61,-0.0002
306,2,115,21.61,-0.0001
307,2,116,21.61,0.0004
308,2,117,21.61,-0.0
309,2,118,21.61,0.0004
310,2,119,21.61,-0.0002
311,2,120,21.61,0.0004
312,2,121,21.61,0.0003
313,2,122,21.61,0.0003
314,2,123,21.61,-0.0004
315,2,124,21.61,0.0004
316,2,125,21.61,0.0001
317,2,126,21.61,0.0005
318,2,127,21.61,-0.0004
319,2,128,21.6,0.0
320,2,129,21.6,0.0004
321,2,130,21.61,-0.0003
322,2,131,21.61,0.0001
323,2,132,21.61,0.0006
324,2,133,21.61,-0.0004
325,2,134,21.6,0.0001
326,2,135,21.61,-0.0002
327,2,136,21.61,-0.0003
328,2,137,21.61,-0.0004
329,2,138,21.61,0.0004
330,2,139,21.61,0.0005
331,2,140,21.61,-0.0001
332,2,141,21.61,0.0003
333,2,142,21.61,0.0004
334,2,143,21.61,0.0004
335,2,144,21.61,0.0002
336,2,145,21.61,0.0001
337,2,146,21.61,-0.0001
338,2,147,21.61,-0.0001
339,2,148,21.61,0.0004
340,2,149,21.61,-0.0003
341,2,150,21.61,0.0004
342,2,151,21.61,-0.0004
343,2,152,21.61,0.0003
344,2,153,21.61,0.0002
345,2,154,21.6,0.0001
346,2,155,21.61,-0.0003
347,2,156,21.61,0.0004
348,2,157,21.61,-0.0004
349,2,158,21.61,0.0001
350,2,159,21.61,-0.0003
351,2,160,21.61,-0.0003
352,2,161,21.61,0.0003
353,2,162,21.61,0.0003
354,2,163,21.61,0.0004
355,2,164,21.61,0.0003
356,2,165,21.61,0.0004
357,2,166,21.61,0.0002
358,2,167,21.61,-0.0001
359,2,168,21.61,-0.0003
360,2,169,21.61,0.0003
361,2,170,21.61,0.0004
362,2,171,21.61,0.0005
363,2,172,21.61,0.0004
364,2,173,21.61,-0.0002
365,2,174,21.61,-0.0003
366,2,175,21.61,0.0005
367,2,176,21.61,-0.0004
368,2,177,21.61,-0.0001
369,2,178,21.61,0.0003
370,2,179,21.61,-0.0001
371,2,180,21.61,0.0
372,2,181,21.61,-0.0002
373,2,182,21.61,-0.0002
374,2,183,21.61,-0.0002
375,2,184,21.61,0.0
376,2,185,21.61,0.0004
377,2,186,21.61,0.0002
378,2,187,21.61,0.0002
379,2,188,21.61,0.0002
380,2,189,21.61,0.0002
381,2,190,21.61,0.0004
382,2,191,21.61,0.0004
383,2,192,21.6,0.0002
384,2,193,21.61,-0.0003
385,2,194,21.61,-0.0003
386,2,195,21.61,0.0004
387,2,196,21.61,0.0004
388,2,197,21.61,0.0005
389,2,198,21.61,0.0003
390,2,199,21.61,0.0001
391,2,200,21.61,0.0
392,2,201,21.61,0.0002
393,2,202,21.61,0.0003
394,2,203,21.61,0.0001
395,2,204,21.61,0.0003
396,2,205,21.61,0.0003
397,2,206,21.61,-0.0003
398,2,207,21.61,-0.0004
399,2,208,21.61,0.0004
400,2,209,21.61,0.0002
401,2,210,21.61,0.0001
402,2,211,21.61,-0.0002
403,2,212,21.61,-0.0004
404,2,213,21.61,-0.0
405,2,214,21.61,-0.0002
406,2,215,21.61,0.0005
407,2,216,21.61,0.0005
408,2,217,21.61,0.0005
409,2,218,21.61,-0.0002
410,2,219,21.61,0.0001
411,2,220,21.61,-0.0002
412,2,221,21.61,-0.0001
413,2,222,21.61,0.0001
414,2,223,21.61,0.0003
415,2,224,21.61,0.0001
416,2,225,21.61,-0.0
417,2,226,21.61,0.0002
418,2,227,21.61,0.0004
419,2,228,21.61,0.0001
420,2,229,21.61,-0.0001
421,2,230,21.61,0.0004
422,2,231,21.61,-0.0001
423,2,232,21.61,0.0004
424,2,233,21.61,-0.0004
425,2,234,21.61,-0.0002
426,2,235,21.61,0.0002
427,2,236,21.61,0.0003
428,2,237,21.61,0.0004
429,2,238,21.61,-0.0
430,2,239,21.61,-0.0003
431,2,240,21.61,-0.0002
432,2,241,21.61,0.0001
433,2,242,21.61,0.0004
434,2,243,21.61,-0.0002
435,2,244,21.61,0.0005
436,2,245,21.61,0.0005
437,2,246,21.61,0.0003
438,2,247,21.61,-0.0002
439,2,248,21.61,0.0001
440,2,249,21.61,-0.0004
441,2,250,21.61,0.0004
442,2,251,21.61,-0.0003
443,2,252,21.61,0.0004
444,2,253,21.61,-0.0002
445,2,254,21.61,0.0005
446,2,255,21.61,0.0006
447,2,256,21.61,0.0004
448,2,257,21.61,-0.0002
449,2,258,21.61,-0.0
450,2,259,21.61,-0.0003
451,2,260,21.61,0.0001
452,2,261,21.61,0.0003
453,2,262,21.61,-0.0002
454,2,263,21.61,0.0001
455,2,264,21.61,0.0005
456,2,265,21.61,0.0004
457,2,266,21.61,-0.0001
458,2,267,21.61,0.0003
459,2,268,21.61,-0.0
460,2,269,21.61,-0.0002
461,2,270,21.61,-0.0002
462,2,271,21.61,0.0002
463,2,272,21.61,0.0001
464,2,273,21.61,-0.0003
465,2,274,21.61,0.0004
466,2,275,21.61,0.0001
467,2,276,21.61,0.0004
468,2,277,21.61,-0.0004
469,2,278,21.61,-0.0003
470,2,279,21.61,0.0005
471,2,280,21.61,-0.0
472,2,281,21.61,-0.0003
473,2,282,21.61,-0.0
474,2,283,21.61,0.0002
475,2,284,21.61,0.0001
476,2,285,21.61,0.0004
477,2,286,21.61,-0.0003
478,2,287,21.61,0.0006
479,3,1,21.61,0.0005
480,3,2,21.61,0.0
481,3,3,21.61,-0.0002
482,3,4,21.61,-0.0002
483,3,5,21.61,0.0004
484,3,6,21.61,-0.0003
485,3,7,21.61,-0.0003
486,3,8,21.61,-0.0005
487,3,9,21.61,0.0003
488,3,10,21.61,0.0003
489,3,11,21.61,0.0002
490,3,12,21.61,0.0003
491,3,13,21.61,0.0003
492,3,14,21.61,0.0004
493,3,15,21.61,0.0001
494,3,16,21.61,-0.0002
495,3,17,21.61,-0.0001
496,3,18,21.61,-0.0005
497,3,19,21.61,-0.0004
498,3,20,21.61,-0.0002
499,3,21,21.61,0.0004
500,3,22,21.61,-0.0001
501,3,23,21.61,-0.0002
502,3,24,21.61,-0.0002
503,3,25,21.61,-0.0004
504,3,26,21.61,-0.0005
505,3,27,21.61,0.0002
506,3,28,21.61,-0.0
507,3,29,21.61,0.0004
508,3,30,21.61,0.0004
509,3,31,21.61,0.0001
510,3,32,21.61,0.0002
511,3,33,21.61,0.0002
512,3,34,21.61,0.0005
513,3,35,21.61,0.0001
514,3,36,21.61,0.0001
515,3,37,21.61,0.0001
516,3,38,21.61,0.0001
517,3,39,21.61,0.0004
518,3,40,21.61,0.0001
519,3,41,21.61,-0.0002
520,3,42,21.6,-0.0003
521,3,43,21.61,-0.0003
522,3,44,21.61,-0.0005
523,3,45,21.61,-0.0005
524,3,46,21.61,0.0004
525,3,47,21.61,-0.0004
526,3,48,21.61,0.0001
527,3,49,21.61,-0.0
528,3,50,21.61,-0.0004
529,3,51,21.61,0.0001
530,3,52,21.61,-0.0
531,3,53,21.61,0.0002
532,3,54,21.61,0.0002
533,3,55,21.61,0.0002
534,3,56,21.61,-0.0002
535,3,57,21.61,-0.0005
536,3,58,21.61,-0.0005
537,3,59,21.61,0.0002
538,3,60,21.61,0.0003
539,3,61,21.61,0.0002
540,3,62,21.61,0.0002
541,3,63,21.61,0.0004
542,3,64,21.61,0.0001
543,3,65,21.61,-0.0003
544,3,66,21.61,0.0
545,3,67,21.61,-0.0005
546,3,68,21.61,-0.0002
547,3,69,21.61,-0.0001
548,3,70,21.61,0.0004
549,3,71,21.61,0.0001
550,3,72,21.61,-0.0002
551,3,73,21.6,0.0002
552,3,74,21.61,-0.0001
553,3,75,21.61,-0.0002
554,3,76,21.61,-0.0001
555,3,77,21.61,0.0001
556,3,78,21.61,-0.0005
557,3,79,21.61,0.0004
558,3,80,21.61,-0.0003
559,3,81,21.61,0.0002
560,3,82,21.61,-0.0003
561,3,83,21.61,-0.0004
562,3,84,21.61,0.0004
563,3,85,21.61,-0.0001
564,3,86,21.61,0.0003
565,3,87,21.61,0.0
566,3,88,21.61,-0.0
567,3,89,21.61,0.0004
568,3,90,21.61,-0.0002
569,3,91,21.61,-0.0004
570,3,92,21.61,-0.0004
571,3,93,21.61,-0.0001
572,3,94,21.6,0.0005
573,3,95,21.61,-0.0001
574,3,96,21.61,0.0001
575,3,97,21.61,-0.0005
576,3,98,21.61,-0.0004
577,3,99,21.61,-0.0001
578,3,100,21.61,-0.0004
579,3,101,21.61,-0.0003
580,3,102,21.61,0.0
581,3,103,21.61,-0.0003
582,3,104,21.61,0.0
583,3,105,21.61,0.0004
584,3,106,21.61,-0.0001
585,3,107,21.61,0.0003
586,3,108,21.61,-0.0002
587,3,109,21.6,-0.0003
588,3,110,21.61,0.0001
589,3,111,21.61,-0.0005
590,3,112,21.61,0.0002
591,3,113,21.61,-0.0
592,3,114,21.61,-0.0005
593,3,115,21.61,0.0001
594,3,116,21.61,0.0002
595,3,117,21.61,0.0001
596,3,118,21.61,0.0
597,3,119,21.61,-0.0002
598,3,120,21.61,0.0005
599,3,121,21.61,-0.0003
600,3,122,21.61,-0.0002
601,3,123,21.61,0.0001
602,3,124,21.61,-0.0003
603,3,125,21.61,0.0002
604,3,126,21.61,0.0004
605,3,127,21.61,0.0001
606,3,128,21.61,-0.0003
607,3,129,21.61,0.0005
608,3,130,21.61,0.0
609,3,131,21.61,0.0002
610,3,132,21.61,-0.0001
611,3,133,21.61,-0.0003
612,3,134,21.61,-0.0005
613,3,135,21.61,-0.0
614,3,136,21.61,-0.0001
615,3,137,21.61,0.0004
616,3,138,21.61,-0.0
617,3,139,21.61,0.0005
618,3,140,21.61,0.0002
619,3,141,21.61,0.0003
620,3,142,21.61,0.0003
621,3,143,21.61,0.0004
622,3,144,21.61,-0.0001
623,3,145,21.61,-0.0003
624,3,146,21.61,0.0004
625,3,147,21.61,0.0001
626,3,148,21.61,0.0003
627,3,149,21.61,-0.0
628,3,150,21.61,-0.0003
629,3,151,21.61,-0.0
630,3,152,21.61,-0.0003
631,3,153,21.61,0.0004
632,3,154,21.61,-0.0001
633,3,155,21.61,0.0002
634,3,156,21.61,-0.0003
635,3,157,21.61,0.0004
636,3,158,21.61,-0.0003
637,3,159,21.61,-0.0004
638,3,160,21.61,0.0002
639,3,161,21.61,-0.0001
640,3,162,21.61,0.0002
641,3,163,21.61,0.0
642,3,164,21.61,-0.0003
643,3,165,21.61,-0.0001
644,3,166,21.61,-0.0002
645,3,167,21.61,0.0004
646,3,168,21.61,0.0002
647,3,169,21.61,-0.0001
648,3,170,21.61,-0.0003
649,3,171,21.61,-0.0003
650,3,172,21.61,-0.0004
651,3,173,21.61,-0.0002
652,3,174,21.61,-0.0005
653,3,175,21.61,0.0004
654,3,176,21.61,0.0002
655,3,177,21.61,-0.0002
656,3,178,21.61,0.0001
657,3,179,21.61,0.0
658,4,1,21.61,0.0005
659,4,2,21.61,-0.0004
660,4,3,21.61,-0.0
661,4,4,21.61,-0.0003
662,4,5,21.61,-0.0002
663,4,6,21.61,0.0005
664,4,7,21.61,0.0002
665,4,8,21.61,-0.0004
666,4,9,21.61,0.0005
667,4,10,21.61,-0.0003
668,4,11,21.61,0.0003
669,4,12,21.61,-0.0001
670,4,13,21.61,0.0005
671,4,14,21.61,0.0005
672,4,15,21.61,-0.0001
673,4,16,21.61,-0.0001
674,4,17,21.61,0.0004
675,4,18,21.61,-0.0002
676,4,19,21.61,0.0005
677,4,20,21.61,-0.0003
678,4,21,21.61,-0.0001
679,4,22,21.61,-0.0003
680,4,23,21.61,0.0
681,4,24,21.61,-0.0002
682,4,25,21.61,-0.0004
683,4,26,21.61,0.0001
684,4,27,21.61,0.0001
685,4,28,21.61,0.0001
686,4,29,21.61,0.0
687,4,30,21.61,-0.0002
688,4,31,21.61,0.0001
689,4,32,21.61,0.0004
690,4,33,21.61,-0.0004
691,4,34,21.61,-0.0002
692,4,35,21.61,-0.0002
693,4,36,21.61,0.0
694,4,37,21.61,0.0001
695,4,38,21.61,-0.0004
696,4,39,21.61,-0.0003
697,4,40,21.61,0.0003
698,4,41,21.61,-0.0001
699,4,42,21.61,-0.0003
700,4,43,21.61,-0.0002
701,4,44,21.61,0.0005
702,4,45,21.61,0.0001
703,4,46,21.6,-0.0003
704,4,47,21.61,-0.0003
705,4,48,21.61,-0.0004
706,4,49,21.61,-0.0002
707,4,50,21.61,-0.0002
708,4,51,21.61,0.0005
709,4,52,21.61,-0.0001
710,4,53,21.61,-0.0
711,4,54,21.61,-0.0001
712,4,55,21.61,0.0002
713,4,56,21.61,0.0001
714,4,57,21.61,0.0003
715,4,58,21.61,0.0003
716,4,59,21.61,0.0
717,4,60,21.61,-0.0003
718,4,61,21.61,0.0003
719,4,62,21.61,0.0004
720,4,63,21.61,0.0002
721,4,64,21.61,0.0
722,4,65,21.61,0.0005
723,4,66,21.61,0.0
724,4,67,21.61,-0.0003
725,4,68,21.61,-0.0001
726,4,69,21.61,-0.0003
727,4,70,21.61,0.0003
728,4,71,21.61,-0.0003
729,4,72,21.61,0.0002
730,4,73,21.61,0.0001
731,4,74,21.61,0.0001
732,4,75,21.61,-0.0003
733,4,76,21.61,0.0
734,4,77,21.61,0.0004
735,4,78,21.61,0.0001
736,4,79,21.61,0.0004
737,4,80,21.61,0.0001
738,4,81,21.61,0.0
739,4,82,21.61,0.0004
740,4,83,21.61,0.0005
741,4,84,21.61,0.0006
742,4,85,21.61,0.0001
743,4,86,21.61,-0.0
744,4,87,21.61,0.0005
745,4,88,21.61,-0.0003
746,4,89,21.61,-0.0002
747,4,90,21.61,0.0003
748,4,91,21.61,0.0002
749,4,92,21.61,0.0004
750,4,93,21.61,0.0005
751,4,94,21.61,0.0004
752,4,95,21.61,0.0004
753,4,96,21.61,0.0003
754,4,97,21.61,0.0006
755,4,98,21.61,0.0001
756,4,99,21.61,-0.0004
757,4,100,21.61,-0.0003
758,4,101,21.61,0.0003
759,4,102,21.61,0.0002
760,4,103,21.61,0.0001
761,4,104,21.61,0.0005
762,4,105,21.61,0.0002
763,4,106,21.61,-0.0004
764,4,107,21.61,-0.0002
765,4,108,21.61,0.0
766,4,109,21.61,-0.0004
767,4,110,21.61,0.0004
768,4,111,21.61,-0.0003
769,4,112,21.61,0.0002
770,4,113,21.61,0.0
771,4,114,21.61,0.0001
772,4,115,21.61,0.0
773,4,116,21.61,0.0003
774,4,117,21.61,-0.0
775,4,118,21.61,0.0
776,4,119,21.61,-0.0002
777,4,120,21.61,0.0001
778,4,121,21.61,-0.0003
779,4,122,21.61,-0.0004
780,4,123,21.61,0.0004
781,4,124,21.61,0.0001
782,4,125,21.61,0.0002
783,4,126,21.61,-0.0003
784,4,127,21.61,-0.0001
785,4,128,21.61,0.0001
786,4,129,21.61,0.0001
787,4,130,21.61,0.0002
788,4,131,21.61,-0.0003
789,4,132,21.61,0.0004
790,4,133,21.61,0.0
791,4,134,21.61,0.0006
792,4,135,21.61,-0.0002
793,4,136,21.61,0.0001
794,4,137,21.61,0.0004
795,4,138,21.61,-0.0003
796,4,139,21.61,-0.0001
797,4,140,21.61,0.0005
798,4,141,21.61,0.0004
799,4,142,21.61,0.0002
800,4,143,21.61,0.0003
801,4,144,21.61,0.0003
802,4,145,21.61,0.0005
803,4,146,21.61,0.0003
804,4,147,21.61,0.0004
805,4,148,21.61,-0.0001
806,4,149,21.61,0.0004
807,4,150,21.61,-0.0003
808,4,151,21.61,0.0003
809,4,152,21.61,-0.0002
810,4,153,21.61,0.0001
811,4,154,21.61,0.0002
812,4,155,21.61,0.0001
813,4,156,21.61,-0.0001
814,4,157,21.61,0.0
815,4,158,21.61,-0.0004
816,4,159,21.61,0.0005
817,4,160,21.61,0.0005
818,4,161,21.61,0.0004
819,4,162,21.61,0.0004
820,4,163,21.61,-0.0002
821,4,164,21.61,-0.0002
822,4,165,21.61,0.0003
823,4,166,21.61,-0.0003
824,4,167,21.61,0.0
825,4,168,21.61,0.0002
826,4,169,21.61,0.0001
827,4,170,21.61,0.0002
828,4,171,21.61,-0.0003
829,4,172,21.61,-0.0002
830,4,173,21.61,-0.0
831,4,174,21.61,-0.0003
832,4,175,21.61,0.0004
833,4,176,21.61,0.0003
834,4,177,21.61,-0.0001
835,4,178,21.61,0.0003
836,4,179,21.61,0.0
837,4,180,21.61,-0.0002
838,4,181,21.61,-0.0002
839,4,182,21.61,-0.0
840,4,183,21.61,0.0002
841,4,184,21.61,0.0003
842,4,185,21.61,0.0005
843,4,186,21.61,-0.0001
844,4,187,21.61,0.0005
845,4,188,21.61,0.0001
846,4,189,21.61,-0.0002
847,5,1,21.61,0.0002
848,5,2,21.61,0.0003
849,5,3,21.61,-0.0005
850,5,4,21.61,-0.0004
851,5,5,21.61,0.0001
852,5,6,21.61,0.0002
853,5,7,21.6,0.0001
854,5,8,21.61,-0.0002
855,5,9,21.61,0.0002
856,5,10,21.6,0.0003
857,5,11,21.61,-0.0003
858,5,12,21.6,-0.0001
859,5,13,21.61,-0.0005
860,5,14,21.61,0.0004
861,5,15,21.61,-0.0001
862,5,16,21.61,0.0004
863,5,17,21.61,-0.0001
864,5,18,21.61,0.0001
865,5,19,21.61,-0.0002
866,5,20,21.61,0.0002
867,5,21,21.6,-0.0003
868,5,22,21.61,-0.0002
869,5,23,21.6,-0.0001
870,5,24,21.61,0.0002
871,5,25,21.61,-0.0005
872,5,26,21.61,0.0
873,5,27,21.6,-0.0002
874,5,28,21.61,-0.0005
875,5,29,21.61,-0.0005
876,5,30,21.6,-0.0004
877,5,31,21.61,-0.0003
878,5,32,21.61,-0.0001
879,5,33,21.61,-0.0002
880,5,34,21.6,-0.0
881,5,35,21.61,0.0001
882,5,36,21.61,0.0001
883,5,37,21.61,0.0001
884,5,38,21.61,-0.0002
885,5,39,21.61,-0.0002
886,5,40,21.61,-0.0002
887,5,41,21.6,-0.0001
888,5,42,21.61,-0.0002
889,5,43,21.61,-0.0004
890,5,44,21.61,-0.0001
891,5,45,21.61,0.0004
892,5,46,21.61,-0.0003
893,5,47,21.6,-0.0002
894,5,48,21.61,0.0
895,5,49,21.61,-0.0004
896,5,50,21.61,-0.0001
897,5,51,21.61,0.0
898,5,52,21.6,-0.0
899,5,53,21.61,0.0001
900,5,54,21.61,0.0005
901,5,55,21.61,-0.0005
902,5,56,21.61,0.0003
903,5,57,21.61,0.0001
904,5,58,21.61,0.0004
905,5,59,21.6,0.0005
906,5,60,21.61,-0.0005
907,5,61,21.61,0.0001
908,5,62,21.61,-0.0001
909,5,63,21.61,0.0003
